endpoint_id,endpoint_name,account_id,last_seen_at
,A-STAFF2.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-24T20:19:28.733999394Z
,ADMON-PRIMARY.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-24T19:21:33.860023604Z
,Admon06.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-24T21:14:28.484778688Z
,Admon07.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-24T18:54:20.859128182Z
,ADMON17,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-26T02:59:37.974257149Z
,Admon18.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-24T21:24:57.097520161Z
,Admon20.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-25T14:35:24.241538817Z
,Admon21.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-24T21:48:55.196096409Z
,ADMON22.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-24T19:10:00.193440165Z
,ADMON23.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-24T18:58:42.28971427Z
,Admon25.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-25T10:07:47.884454447Z
,ADMON30.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-24T16:43:02.718341927Z
,Admon34.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-24T21:06:41.959859343Z
,ADMON36.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-25T21:35:40.159351611Z
,Admon37.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-24T18:31:48.762831727Z
,Admon41.edron.local,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-24T19:04:52.228467198Z
,Admon42.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-25T01:24:15.643711801Z
,Admon43.edron.local,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-24T19:44:34.200468244Z
,Admon44.edron.local,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-15T20:08:20.64146688Z
,Admon46.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-24T20:38:34.406674701Z
,Admon47.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-24T21:09:37.050364027Z
,Admon48.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-24T19:17:31.010770276Z
,AlmacenG.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-03-13T22:19:23.722517153Z
,Assistant-HTK.edron.local,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-24T17:15:49.726748926Z
,AssistantHTS.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-24T19:38:45.697146728Z
,DESKTOP-ICE1INL,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-02-09T12:39:39.046116245Z
,DESKTOP-R8DC28I,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-24T19:09:14.133239203Z
,EdronAD.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-26T02:58:57.282129979Z
,facilities02.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-01-29T15:05:44.433400727Z
,HRAssistant.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-24T19:19:20.457554957Z
,HT-LIBRARY.edron.local,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-03-27T13:10:42.348093036Z
,INFIRMARYCG.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-25T19:41:00.650377638Z
,IT-Support.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-26T02:02:41.990406204Z
,ITSUPPORT-01,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-25T22:20:26.58462567Z
,itsupport-03.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-24T19:06:47.729476144Z
,ITSUPPORT-04,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-24T20:10:18.134625276Z
,ITSUPPORT-06,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-24T16:08:45.493132266Z
,Kinder-RECA.edron.local,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-24T18:08:27.187448326Z
,Kinder07.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-24T18:00:27.402422673Z
,Kinder08.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-24T18:58:46.052315555Z
,Kinder10.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-03-26T19:09:22.612153717Z
,Kinder11.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-25T23:33:10.326274504Z
,Kinder13.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-24T19:08:26.347576346Z
,Kinder14.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-24T20:26:35.339968921Z
,KINDER15.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-26T00:32:04.791587875Z
,KINDER16.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-24T17:57:36.596813124Z
,Kinder19.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-24T22:37:49.018569898Z
,Kinder20.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-03-26T19:07:06.194277223Z
,Kinder22.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-03-12T17:35:02.314691012Z
,Kinder23.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-24T21:20:18.898316888Z
,Kinder24.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-24T19:08:40.419045493Z
,Kinder27.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,
,Kinder29.edron.local,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-26T00:20:00.744652427Z
,KINDER32.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-13T05:48:26.21009431Z
,KINDER33.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-23T14:05:29.460400268Z
,Kinder34.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-24T18:08:32.521072094Z
,KINDER35.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-15T16:06:03.228360909Z
,Kinder38.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-03-11T18:23:02.495688093Z
,Kinder38.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-24T22:51:48.516435565Z
,KINDER41.edron.local,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-25T01:54:51.904179999Z
,kinder43.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-26T01:22:23.10553023Z
,Kinder44.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-03-27T15:51:21.336784096Z
,KINDER45.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-17T20:46:57.249769043Z
,KINDER47.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-24T18:15:25.518858665Z
,Kinder51.edron.local,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-24T20:37:26.73163709Z
,LAB-PRI07.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-26T02:39:12.173497567Z
,LAB-PRI08.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-26T02:02:38.933352121Z
,LAB-PRI09.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-26T02:02:46.871196562Z
,LAB-PRI10.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-26T02:02:37.901082671Z
,LAB-PRI11.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-26T02:02:47.960466799Z
,LAB-PRI16.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-03-27T14:16:32.937175629Z
,LAP-EPLUS.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-03T17:32:01.769650914Z
,LapSusi,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-24T21:24:25.882225554Z
,Library-Pri.edron.local,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-24T20:17:51.955839646Z
,Library01,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-24T19:09:15.998367548Z
,Library2,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-24T18:25:47.928640975Z
,Papeleria01.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-03-26T18:21:03.579272551Z
,Prep-room.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-24T19:06:47.585808626Z
,Primary-Assistant.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-24T17:09:57.954420112Z
,primary02.edron.local,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-24T21:49:40.976576873Z
,Primary03.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-24T19:08:39.706694532Z
,Primary04.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-24T20:35:39.775122649Z
,Primary06.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-24T18:47:39.668247417Z
,Primary10.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-24T19:01:14.717436863Z
,Primary11.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-24T20:24:27.810990933Z
,Primary13.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-24T18:39:58.315975092Z
,Primary16.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-03-26T19:28:52.380091741Z
,Primary17.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-24T18:54:43.559535674Z
,Primary19.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-24T18:41:24.658912468Z
,Primary20.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-24T20:52:02.215332042Z
,Primary21.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-21T17:14:59.944158263Z
,Primary23.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-24T19:22:52.631403375Z
,Primary24.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-26T02:59:17.659875575Z
,Primary25.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-24T18:59:25.164367499Z
,Primary26.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-24T19:10:06.596669604Z
,Primary27.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-25T04:18:15.308509557Z
,Primary31.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-25T03:19:31.212661102Z
,Primary35.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-25T14:01:33.979485183Z
,Primary40.edron.local,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-24T19:04:42.186125106Z
,Primary43.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-24T20:50:09.531573241Z
,Primary44.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-24T18:58:22.771340995Z
,PRIMARY50.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-25T16:17:07.400702049Z
,PRIMARY51.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-23T20:51:58.74161964Z
,Primary53.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-24T19:09:27.673575184Z
,PRIMARY54.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-03-26T19:31:25.083725409Z
,PRIMARY55.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-24T19:15:16.168205972Z
,Primary56.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-24T23:02:44.383270304Z
,Primary57.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-23T18:52:48.975681749Z
,Primary59.edron.local,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-24T20:08:16.199894264Z
,PRIMARY60.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-24T20:10:59.572154771Z
,Primary61.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-24T15:20:20.153771953Z
,Primary63.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-24T18:10:49.183442869Z
,Primary66.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-24T21:05:46.041937191Z
,Printserver.edron.local,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-26T00:46:10.864234978Z
,Secondary02.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-24T17:05:18.686043203Z
,Secondary03.edron.local,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-03-13T22:03:26.915324397Z
,Secondary04.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-24T18:08:30.775611919Z
,Secondary06.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-24T18:10:46.25601782Z
,Secondary07.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-24T19:10:21.003622695Z
,Secondary09.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-25T16:36:26.970830239Z
,Secondary10.edron.local,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-24T19:42:21.489184107Z
,Secondary13.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-24T18:38:24.061165879Z
,Secondary15.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-24T18:56:45.103780031Z
,Secondary17.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-03-04T20:23:32.128415563Z
,Secondary21.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-24T20:11:04.961399453Z
,Secondary22.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-24T20:54:32.080094557Z
,Secondary23.edron.local,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-24T21:44:42.353337563Z
,Secondary26.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-24T20:00:38.919421165Z
,Secondary30.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-24T19:09:45.529297247Z
,Secondary32.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-25T16:51:58.760537888Z
,Secondary34.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-26T02:03:24.925051288Z
,Secondary36.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-24T21:04:41.602100986Z
,Secondary37.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-25T23:57:31.350398527Z
,Secondary38.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-25T23:16:51.555558214Z
,Secondary40.edron.local,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-24T20:50:43.262110493Z
,Secondary43.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-24T19:24:16.059373197Z
,Secondary44.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-23T20:02:35.192796532Z
,Secondary49.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-24T19:30:11.653554637Z
,Secondary54.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-24T19:55:00.657277049Z
,Secondary55.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-03-26T19:35:39.435122114Z
,Secondary57.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-24T20:12:08.680164771Z
,Secondary58.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-25T17:26:24.978563091Z
,Secondary61.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-24T21:43:48.201095295Z
,Secondary63.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-24T19:24:44.736892853Z
,Secondary65.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-24T20:24:32.769542151Z
,Secondary67.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-03-26T19:49:50.130230725Z
,Secondary68.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-24T16:37:38.586477809Z
,Secondary70.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-24T19:15:06.183538052Z
,Secondary72.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-24T18:50:38.940552945Z
,Secondary74.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-24T21:06:27.691127722Z
,Transporte02.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-24T21:01:22.844638912Z
,Video-vigi-sec.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-25T22:27:15.870296186Z
,VIGILANCIACG.edron.lan,b1249674-fe13-4272-8c3a-0601d4249fe6,2026-04-25T21:34:41.453166267Z
